Nazwa	Skrót	Kod	Kod paskowy	Pierwszy dod. kod pask.	Typ	Kod grupy	Grupa	Jednostka	PKWiU	VATs	VATz	Ilość	Opak.zb.	Gramatura	Ce.zak.netto	Ce.sprz.netto	Ce.sprz.brutto	WPromocji:	Używaj limitów	Limit dolny	Limit górny	Marza bazowa	Narzut bazowy	Zapas na	LiczbaDniPrzydatnosci	Fotografia	Uwagi	Klas1	Klas2	Klas3	Klas4	Klas5	Klas6	Klas7	Klas8	Klas9	Klas10	DataWpisu	Opis
M.KAN Uszczelka in situ 110	028694	1724			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	6	1	1	6.70	11.30	13.90		0	1	1			14			AQUER											2013-05-22	
M.KAN Uszczelka in situ 160	028695	1725			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	4	1	1	7.21	12.93	15.90		0	1	1			14			AQUER											2013-05-22	
M.KAN W Redukcja gumowa 32/25	028696	1726			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	25	1	1	0.61	1.22	1.50		0	1	1			14			AQUER											2013-05-22	
M.KAN W Redukcja gumowa 50/40	028697	1727			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	16	1	1	0.74	1.22	1.50		0	1	1			14			AQUER											2013-05-22	
M.PEX Rozdzielacz 1*  10obw moś.	028698	1728			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	2	1	1	141.63	211.38	260.00		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw. z gumą   3/8*	028682	1715			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	93	1	1	1.24	2.20	2.70		0	1	1			14			AQUER											2013-05-22	
M.Syfon elastyczny 32 umywalka	028707	1737			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	11	1	1	2.58	4.23	5.20		0	1	1			14			"32 x 5/4
AQUER"											2013-05-22	
M.PEX Szafka  3P  6-8	028714	1744			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	89.61	130.08	160.00		0	1	1			14			"560-655x580x110-165
AQUER"											2013-05-22	
M.Spinka do otulin	028713	1743			Towar	2	MARKA SP. Z O.O.	opak	Bez SWW	23%	23%	110	1	1	2.03	2.44	3.00		0	1	1			14			AQUER											2013-05-22	
M.PEX Szafka   3N  8	028712	1742			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	86.52	121.95	150.00		0	1	1			14			"590x550x110
AQUER"											2013-05-22	
M.PEX Szafka   2N  6	028711	1741			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	81.37	113.82	140.00		0	1	1			14			"590x450x110
AQUER"											2013-05-22	
M.Syfon pralki nadtynkowy chrom	028710	1740			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	9	1	1	4.02	5.28	6.50		0	1	1			14			AQUER											2013-05-22	
M.PEX Rozdzielacz 1*  11obw moś.	028699	1729			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	0	1	1	154.09	227.64	280.00		0	1	1			14			AQUER											2013-05-22	
M.Syfon elastyczny 40 zlew	028708	1738			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	18	1	1	2.58	3.66	4.50		0	1	1			14			"40 x 6/4
AQUER"											2013-05-22	
M.PEX Rozdzielacz 1*  12obw moś.	028700	1730			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	2	1	1	166.55	247.97	305.00		0	1	1			14			AQUER											2013-05-22	
M.KAN W Redukcja  50/32 kąt.	028706	1736			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	0.73	1.46	1.80		0	1	1			14			AQUER											2013-05-22	
M.KAN W Redukcja  50/32 prosta	028705	1735			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	40	1	1	0.72	1.46	1.80		0	1	1			14			AQUER											2013-05-22	
M.PEX Rozdzielacz 1*  9obw moś.	028704	1734			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	0	1	1	128.03	182.93	225.00		0	1	1			14			AQUER											2013-05-22	
M.KAN W Napowietrzacz 110	028644	1676			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	10	1	1	5.10	6.50	8.00		0	1	1			14			"membranowy
AQUER"											2013-05-22	
M.PEX Rozdzielacz 1*  7obw moś.	028702	1732			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	1	1	1	103.10	146.34	180.00		0	1	1			14			AQUER											2013-05-22	
M.PEX Rozdzielacz 1*  3obw moś.	028701	1731			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	0	1	1	37.39	65.04	80.00		0	1	1			14			AQUER											2013-05-22	
M.Syfon pralki  nadtynkowy	028709	1739			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	13	1	1	2.40	3.41	4.20		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  1/2*	028665	1696			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	94	1	1	0.75	1.38	1.70		0	1	1			14			AQUER											2013-05-22	
M.PEX Rozdzielacz 1*  8obw moś.	028703	1733			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	0	1	1	115.57	162.60	200.00		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw. z gumą   3/4*	028681	1714			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	1.44	2.60	3.20		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   1/2*	028654	1686			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	0.62	1.14	1.40		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   2*	028655	1687			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	0.90	1.63	2.00		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   2  1/2*	028656	1688			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	1.09	1.99	2.45		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   3/4*	028657	1689			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	0.68	1.22	1.50		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   3/8*	028658	1690			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	0.61	1.14	1.40		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   5/4*	028660	1692			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	99	1	1	0.77	1.38	1.70		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   6*	028661	1693			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	30	1	1	1.95	3.25	4.00		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  1*	028664	1695			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	27	1	1	0.86	1.54	1.90		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   4*	028659	1691			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	47	1	1	1.50	2.76	3.40		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  2*	028666	1697			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	86	1	1	1.14	2.07	2.55		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  2 1/2*	028667	1698			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	78	1	1	1.55	2.85	3.50		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   6/4*	028662	1699			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	95	1	1	0.82	1.50	1.85		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw.   1*	028674	1707			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	94	1	1	1.24	2.20	2.70		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw. z gumą   1/2*	028680	1713			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	80	1	1	1.34	2.44	3.00		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw. z gumą   1*	028679	1712			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	43	1	1	1.55	2.85	3.50		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw.   5/4*	028678	1711			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	80	1	1	1.34	2.44	3.00		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw.   3/8*	028677	1710			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	1.03	1.87	2.30		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa   8*	028663	1694			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	23	1	1	4.33	6.10	7.50		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw.   1/2*	028675	1708			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	1.14	2.03	2.50		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  3/4*	028668	1700			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	80	1	1	0.80	1.46	1.80		0	1	1			14			AQUER											2013-05-22	
M.Kluczyk do odpowietrznika mechani.	028630	1703			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	81	1	1	0.57	0.81	1.00		0	1	1			14														2013-05-22	
M.Obejma stalowa z gumą  6/4*	028673	1706			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	93	1	1	1.00	1.87	2.30		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  6*	028672	1705			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	24	1	1	2.78	4.23	5.20		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  3/8*	028669	1701			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	0.71	1.30	1.60		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  5/4*	028671	1704			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	89	1	1	0.93	1.71	2.10		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa z gumą  4*	028670	1702			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	26	1	1	2.06	3.74	4.60		0	1	1			14			AQUER											2013-05-22	
M.Obejma stalowa podw.   3/4*	028676	1709			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	1.19	2.20	2.70		0	1	1			14			AQUER											2013-05-22	
M.PPCT Kolano  GW  20 x 1/2 ŁAPA	027610	1575			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	101	1	1	2.58	5.53	6.80		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GZ  25 x 3/4	027603	1574			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	18	1	1	4.47	7.97	9.80		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GZ  25 x 1/2	027603	1573			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	8	1	1	3.17	6.34	7.80		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GZ  20 x 1/2	027601	1571			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	2.98	5.45	6.70		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GW  20 x 3/4	027607	1568			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	50	1	1	3.47	7.72	9.50		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GW  25 x 1/2 ŁAPA	027611	1576			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	2.91	5.69	7.00		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GW  25 x 3/4	027609	1570			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	100	1	1	3.46	7.72	9.50		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GW  25 x 1/2	027608	1569			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	93	1	1	2.81	6.26	7.70		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GZ  20 x 3/4	027602	1572			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	10	1	1	4.32	7.89	9.70		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Trójnik 20	027620	1577			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	42	1	1	0.43	1.06	1.30		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Trójnik 25	027621	1578			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	40	1	1	0.61	1.46	1.80		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Trójnik red 32/25	027626	1579			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	44	1	1	1.10	1.99	2.45		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Trójnik red 40/20	027627	1580			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	15	1	1	2.16	3.25	4.00		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT TRÓJNIK  GW  20 x 1/2	027614	1581			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	50	1	1	2.45	4.96	6.10		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT TRÓJNIK  GW  25 x 1/2	027615	1582			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	50	1	1	2.81	6.91	8.50		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano  GW  20 x 1/2	027606	1567			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	99	1	1	2.35	5.28	6.50		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Zaślepka   25	027629	1584			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	50	1	1	0.34	0.85	1.05		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Mufa  25	027589	1551			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	31	1	1	0.34	0.85	1.05		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Zaślepka   20	027628	1583			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	56	1	1	0.25	0.61	0.75		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Mufa  GZ   40 x 5/4*	027635	1558			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	12	1	1	13.46	16.83	20.70		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Zaślepka   32	028684	1585			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	10	1	1	0.45	1.06	1.30		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.Trzewiki robocze skóra 43 DTRME9	027958	1623			Towar	2	MARKA SP. Z O.O.	para	Bez SWW	23%	23%	1	1	1	43.02	65.04	80.00		0	1	1			14			Demar PROLINE											2013-05-20	
M.Zgrzewarka Polimarky 2450W	028683	1549			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	1.03	617.89	760.00		0	1	1			14														2013-05-20	
M.PPCT Mufa  20	027588	1550			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	34	1	1	0.28	0.73	0.90		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Mufa  32	027590	1552			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	13	1	1	0.60	1.50	1.85		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Redukcja   25 x 20	027641	1554			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	137	1	1	0.28	0.73	0.90		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Redukcja   32 x 25	027642	1555			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	95	1	1	0.34	0.85	1.05		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Mufa  40	027591	1553			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	10	1	1	1.08	2.11	2.60		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Mufa  GW   25 x 3/4*	027638	1557			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	47	1	1	3.19	5.45	6.70		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano 25/90  nyplowe	027599	1566			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	64	1	1	0.72	1.22	1.50		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Mufa  GZ   20 x 3/4*	027632	1559			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	21	1	1	3.77	6.10	7.50		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano 20/90	027593	1560			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	241	1	1	0.30	0.73	0.90		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano 20/45	027616	1561			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	93	1	1	0.41	0.81	1.00		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano 25/45	027617	1562			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	95	1	1	0.53	1.06	1.30		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano 32/45	027618	1563			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	24	1	1	0.84	1.38	1.70		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano 40/45	027619	1564			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	20	1	1	1.44	2.44	3.00		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Kolano 20/90  nyplowe	027598	1565			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	142	1	1	0.37	0.89	1.10		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.PPCT Mufa  GW   25 x 1/2*	027637	1556			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	28	1	1	2.40	4.23	5.20		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2013-05-20	
M.Kreda tapicerska czerwone 115g	020833	1614			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	1	1	1	1.43	2.36	2.90		0	1	1			14			PROLINE											2013-05-20	
M.Nóż NX07 COVAL	016319	1606			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	6.78	8.94	11.00		0	1	1			14			PROLINE											2013-05-20	
M.Miara zwijana 7,5mb	001634	1607			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	8.90	12.20	15.00		0	1	1			14			"Frendly grip
MODECO EXPERT KOELNER"											2013-05-20	
M.Miara zwijana 2mb	014306	1608			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	3.14	4.47	5.50		0	1	1			14			"Frendly grip
MODECO EXPERT KOELNER"											2013-05-20	
M.Miara zwijana 3mb	014301	1609			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	3.82	4.88	6.00		0	1	1			14			"Frendly grip
MODECO EXPERT KOELNER"											2013-05-20	
M.Miara zwijana 5mb	014308	1610			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	6.73	9.76	12.00		0	1	1			14			"Frendly grip
MODECO EXPERT KOELNER"											2013-05-20	
M.Trzewiki robocze skóra 44 DTRME10	027959	1622			Towar	2	MARKA SP. Z O.O.	para	Bez SWW	23%	23%	1	1	1	46.54	65.04	80.00		0	1	1			14			Demar PROLINE											2013-05-20	
M.Koszulka kołka rozporowego 10x50mm	014203	1605			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	56	1	1	0.04	0.07	0.08		0	1	1			14			KOELNER											2013-05-20	
M.Gwóźdź bud. czarny 2,5x60	005370	1586			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	2.74	1	1	3.24	4.63	5.70		0	1	1			14														2013-05-20	
M.Ostrze do skrobaka 60mm nierdzewne	012538	1611			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	1	1	1	4.70	6.42	7.90		0	1	1			14			PROFIX PROLINE											2013-05-20	
M.Nóż metalowy wzmocniony o. łamane 18mm	013436	1615			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	8	1	1	2.00	2.85	3.50		0	1	1			14			COLOR EXPERT											2013-05-20	
M.Nóż trapezowy wysuwany	013417	1616			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	2	1	1	5.87	6.50	8.00		0	1	1			14			COLOR EXPERT											2013-05-20	
M.Sznurek traserski 30mb	015523	1617			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	2.07	3.17	3.90		0	1	1			14			PROLINE											2013-05-20	
M.Papier ścierny na płótnie	009432	1618			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	28	1	1	0.65	0.98	1.20		0	1	1			14														2013-05-20	
M.Lina stalowa oc PCV 3,0mm	015124	1619			Towar	2	MARKA SP. Z O.O.	mb	Bez SWW	23%	23%	20	1	1	0.82	1.54	1.90		0	1	1			14			KOELNER											2013-05-20	
M.Zacisk stalowy do lin 3,0mm	006324	1620			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	15	1	1	0.11	0.20	0.25		0	1	1			14			MARCO											2013-05-20	
M.Trzewiki robocze skóra 42 DTRME8	027957	1621			Towar	2	MARKA SP. Z O.O.	para	Bez SWW	23%	23%	0	1	1	46.54	65.04	80.00		0	1	1			14			Demar PROLINE											2013-05-20	
M.Ostrze trapezowe stal szybkotn. 0,5mm	014597	1612			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	2	1	1	2.59	3.33	4.10		0	1	1			14			PROFIX PROLINE											2013-05-20	
M.Gwóźdź bud. czarny 7,0x200	005393	1592			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	5	1	1	3.34	4.78	5.88		0	1	1			14														2013-05-20	
M.Gwóźdź bud. czarny 3,8x100	005380	1587			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	0	1	1	3.07	4.39	5.40		0	1	1			14														2013-05-20	
M.Kreda tapicerska niebieska 115g	020832	1613			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	1	1	1	1.43	2.36	2.90		0	1	1			14			PROLINE											2013-05-20	
M.Koszulka kołka rozporowego 6x30mm	014202	1604			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	283	1	1	0.02	0.04	0.05		0	1	1			14			KOELNER											2013-05-20	
M.Gwóźdź bud. czarny 4,5x125	005384	1589			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	5	1	1	3.14	4.49	5.52		0	1	1			14														2013-05-20	
M.Gwóźdź bud. czarny 6,0x175	005389	1591			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	4.89	1	1	3.34	4.78	5.88		0	1	1			14														2013-05-20	
M.Gwóźdź bud. czarny 3,0x80	005375	1588			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	8.65	1	1	3.07	4.39	5.40		0	1	1			14														2013-05-20	
M.Gwóźdź bud. czarny 8,0x250	005397	1593			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	0	1	1	3.30	4.78	5.88		0	1	1			14														2013-05-20	
M.Gwóźdź bud. czarny 8,0x300	005372	1594			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	1.63	1	1	3.40	4.88	6.00		0	1	1			14														2013-05-20	
M.Wiertło do betonu SDS+ 6,0x160	025949	1601			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	3.93	6.10	7.50		0	1	1			14			RISS											2013-05-20	
M.Koszulka kołka rozporowego 12x60mm	017901	1603			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	33	1	1	0.07	0.12	0.15		0	1	1			14			KOELNER											2013-05-20	
M.Gwóźdź bud. czarny 5,0x150	005387	1590			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	4	1	1	3.19	4.56	5.61		0	1	1			14														2013-05-20	
M.Koszulka kołka rozporowego 8x40mm	014204	1602			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	184	1	1	0.03	0.06	0.07		0	1	1			14			KOELNER											2013-05-20	
M.Gwóźdź bud. czarny 8,0x275	005399	1595			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	5	1	1	3.63	4.88	6.00		0	1	1			14														2013-05-20	
M.Wkręt farmer 8019 4,8x35	015311	1600			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	250	1	1	0.12	0.17	0.21		0	1	1			14			KOELNER											2013-05-20	
M.Wkręt farmer 8017 4,8x35	014937	1599			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	170	1	1	0.12	0.17	0.21		0	1	1			14			KOELNER											2013-05-20	
M.Wkręt farmer ocynk 4,8x35	013201	1598			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	250	1	1	0.10	0.15	0.18		0	1	1			14			KOELNER											2013-05-20	
M.Gwóźdź stolarski. ocynk 2,2x50	005454	1597			Towar	2	MARKA SP. Z O.O.	kg	Bez SWW	23%	23%	1.5	1	1	8.31	11.88	14.61		0	1	1			14														2013-05-20	
